app,trial,condition,duration_seconds,total_lines,code_lines,comment_lines,blank_lines,source_files,dependencies,dev_dependencies,cyclomatic_complexity,cognitive_complexity,max_nesting_depth,num_functions,avg_function_length,max_function_length,comment_density,any_type_count,console_log_count,import_count,export_count,magic_number_count,max_line_length,avg_line_length,duplicate_line_ratio
app1-subway-accessibility,t1,autark,255,174,133,12,29,1,2,2,18,12,4,3,57.3,159,0.09,0,20,2,0,1,90,35.9,0.033
app1-subway-accessibility,t1,general,154,406,331,22,53,4,2,3,45,101,7,34,15.8,100,0.066,0,1,11,4,27,100,31.1,0.077
app1-subway-accessibility,t2,autark,299,221,166,15,40,1,2,2,37,26,4,4,53.8,196,0.09,0,22,2,0,1,130,40.3,0.045
app2-noise-pollution,t1,autark,302,174,144,11,19,1,2,2,11,21,5,6,30.5,159,0.076,0,19,3,0,2,82,35.2,0.016
app2-noise-pollution,t1,general,275,874,685,64,125,6,10,4,124,287,6,57,23.8,176,0.093,24,25,12,12,79,133,33.6,0.149
app3-noise-scatterplot,t1,autark,478,204,160,14,30,1,3,2,23,20,5,5,41.4,191,0.087,5,24,3,0,3,112,37.6,0.028
app3-noise-scatterplot,t1,general,292,1031,825,61,145,8,9,5,131,346,7,65,21.4,129,0.074,32,32,26,29,80,165,34.4,0.118
app3-noise-scatterplot,t2,autark,329,241,197,18,26,1,4,2,29,53,5,8,35.4,224,0.091,0,2,3,0,4,112,37.8,0.097
app3-noise-scatterplot,t2,general,332,803,645,46,112,7,15,0,98,226,7,51,19.8,124,0.071,0,21,20,12,91,168,33.5,0.085
app4-street-network,t1,autark,356,248,193,15,40,1,3,2,30,61,5,13,25.5,231,0.078,0,29,4,0,0,86,35.3,0.069
app4-street-network,t1,general,353,742,600,38,104,9,2,4,45,126,6,32,21.9,117,0.063,0,32,18,15,37,163,34.8,0.147
app5-subway-picking,t1,autark,294,155,125,11,19,1,5,0,16,31,5,4,38.5,141,0.088,0,19,2,0,1,112,40.4,0.009
app5-subway-picking,t1,general,423,680,549,44,87,5,3,4,53,147,6,55,12.7,81,0.08,1,40,12,13,39,163,34.2,0.122
app5-subway-picking,t2,autark,238,129,104,9,16,1,4,0,10,13,4,4,33.8,121,0.087,0,21,2,0,1,110,37.1,0.021
app5-subway-picking,t2,general,193,600,498,36,66,3,2,4,90,219,6,55,15.3,74,0.072,3,27,5,8,54,130,35.8,0.114
app1-subway-accessibility,avg,autark,277.0,197.5,149.5,13.5,34.5,1.0,2.0,2.0,27.5,19.0,4.0,3.5,55.55,177.5,0.09,0.0,21.0,2.0,0.0,1.0,110.0,38.1,0.04
app1-subway-accessibility,avg,general,154.0,406.0,331.0,22.0,53.0,4.0,2.0,3.0,45.0,101.0,7.0,34.0,15.8,100.0,0.07,0.0,1.0,11.0,4.0,27.0,100.0,31.1,0.08
app2-noise-pollution,avg,autark,302.0,174.0,144.0,11.0,19.0,1.0,2.0,2.0,11.0,21.0,5.0,6.0,30.5,159.0,0.08,0.0,19.0,3.0,0.0,2.0,82.0,35.2,0.02
app2-noise-pollution,avg,general,275.0,874.0,685.0,64.0,125.0,6.0,10.0,4.0,124.0,287.0,6.0,57.0,23.8,176.0,0.09,24.0,25.0,12.0,12.0,79.0,133.0,33.6,0.15
app3-noise-scatterplot,avg,autark,403.5,222.5,178.5,16.0,28.0,1.0,3.5,2.0,26.0,36.5,5.0,6.5,38.4,207.5,0.09,2.5,13.0,3.0,0.0,3.5,112.0,37.7,0.06
app3-noise-scatterplot,avg,general,312.0,917.0,735.0,53.5,128.5,7.5,12.0,2.5,114.5,286.0,7.0,58.0,20.6,126.5,0.07,16.0,26.5,23.0,20.5,85.5,166.5,33.95,0.1
app4-street-network,avg,autark,356.0,248.0,193.0,15.0,40.0,1.0,3.0,2.0,30.0,61.0,5.0,13.0,25.5,231.0,0.08,0.0,29.0,4.0,0.0,0.0,86.0,35.3,0.07
app4-street-network,avg,general,353.0,742.0,600.0,38.0,104.0,9.0,2.0,4.0,45.0,126.0,6.0,32.0,21.9,117.0,0.06,0.0,32.0,18.0,15.0,37.0,163.0,34.8,0.15
app5-subway-picking,avg,autark,266.0,142.0,114.5,10.0,17.5,1.0,4.5,0.0,13.0,22.0,4.5,4.0,36.15,131.0,0.09,0.0,20.0,2.0,0.0,1.0,111.0,38.75,0.01
app5-subway-picking,avg,general,308.0,640.0,523.5,40.0,76.5,4.0,2.5,4.0,71.5,183.0,6.0,55.0,14.0,77.5,0.08,2.0,33.5,8.5,10.5,46.5,146.5,35.0,0.12
ALL,avg,autark,318.88,193.25,152.75,13.12,27.38,1.0,3.12,1.5,21.75,29.62,4.62,5.88,39.52,177.75,0.09,0.62,19.5,2.62,0.0,1.62,104.25,37.45,0.04
ALL,avg,general,288.86,733.71,590.43,44.43,98.86,6.0,6.14,3.43,83.71,207.43,6.43,49.86,18.67,114.43,0.07,8.57,25.43,14.86,13.29,58.14,146.0,33.91,0.12
